,Term,ID,Definition,Synonyms,HPO_ID
12213,Hydatidiform mole,0032192,"Hydatidiform mole (HM) is an aberrant human pregnancy with absence of, or abnormal embryonic development, hydropic degeneration of chorionic villi, and excessive proliferation of the trophoblast.",,HP:0032192
12214,Decreased low-density lipoprotein particle size,0032193,An abnormal decrease in the average size of low-density lipoprotein particle size in the blood circulation.,,HP:0032193
12215,Abnormal S wave,0032195,"Any anomaly of the S wave, which is the third component of the QRS wave complex. The S wave signifies the final depolarization of the ventricles at the base of the heart.",,HP:0032195
12216,Prominent S wave in lead I,0032196,Increased amplitude (0.1 mV or more) and/or duration (40 ms or more) of the S wave as measured in lead I of the electrocardiogram.,,HP:0032196
12217,Deep S wave in lead V5,0032197,Abnormal depth of the S wave in lead V5 of the electrocardiogram.,,HP:0032197
12218,Decreased prothrombin time,0032198,"Abnormally short time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR), which is calculated as a ratio of the patient's prothrombin time (PT) to a control PT standardized for the potency of the thromboplastin reagent developed by the World Health Organization (WHO) using the formula: INR is equal to Patient PT divided by Control PT.","Decreased INR, Decreased international normalised ratio, Decreased international normalized ratio, Decreased PT",HP:0032198
12219,Abnormal prothrombin time,0032199,"Any deviation from the normal amount of time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR), which is calculated as a ratio of the patient's prothrombin time (PT) to a control PT standardized for the potency of the thromboplastin reagent developed by the World Health Organization (WHO) using the formula: INR is equal to Patient PT divided by Control PT.",Abnormal PT,HP:0032199
12220,Perivascular fibrosis,0032200,"The presence of thick collagen bundles around blood vessels, often in an onion-skin type whorling pattern.",,HP:0032200
12221,Rotator cuff tear,0032201,"The term rotator cuff describes the tendons connecting the infraspinatus, supraspinatus, teres minor, and subscapularis muscles to the humeral head.Traumatic tears of the rotator cuff tend to occur at the tendon-bone junction of the supraspinatus and greater tuberosity of the humerus whereas degenerative tears tend to be seen posteriorly at the junction of the supraspinatus and infraspinatu A rotator cuff tear is when one or more of these tendons tears or detaches from the humerus.",,HP:0032201
12222,Vulvar intraepithelial neoplasia,0032202,"Vulvar intraepithelial neoplasia (VIN) is widely accepted as the precursor lesion of vulvar squamous cell carcinoma (VSCC). VSCC arises via either a human papilloma virus (HPV)-associated pathway, or more commonly, via a mechanism independent of HPV, often being linked to chronic inflammatory conditions such as lichen sclerosus (LS). Accordingly, two distinct subtypes of VIN are recognised: the HPV-associated high-grade squamous intraepithelial lesion/usual VIN (HSIL/uVIN) and the non-HPV-associated differentiated VIN (dVIN). HSIL is clinically identified by its multifocal, warty appearance and on histology by conspicuous cytological and architectural atypia. Differentiated VIN, on the other hand, often produces ill-defined lesions, and on histology, notoriously mimics non-neoplastic epithelial disorders (NNED), particularly LS. As a result, dVIN is rarely identified in advance of a diagnosis of invasive malignancy, despite being the precursor lesion of the majority of VSCC.",,HP:0032202
12223,Lymphoid nodular hyperplasia,0032203,"Lymphoid nodular hyperplasia (LNH) of the terminal ileum and colon has been considered a mucosal response to nonspecific stimuli, most often infections, and consequently has been regarded as a pathophysiologic phenomenon during infancy and childhood. LNH can be ascertained by colonoscopy, whereby a lymphoid nodule is defined as an extruding follicle with a diameter of not more than 2 mm, and LNH is defined as a cluster of not more than 10 of such extruding lymphoid nodules (see Figure 1 of PMID:17368236).",Lymphonodular hyperplasia of the colon,HP:0032203
12224,Chronic active Epstein-Barr virus infection,0032204,"Chronic active Epstein-Barr virus (EBV) infection is an uncommon outcome of EBV infection and may present as a waxing and waning or fulminant syndrome. Unlike acute infectious mononucleosis, wherein EBV establishes lifelong infection and survives by maintaining a delicate balance with the host as a latent infection, in chronic active EBV infection the host-virus balance is disturbed.",,HP:0032204
12225,Increased circulating galectin-3 level,0032205,An increased circulation of galectin-3 in the blood circulation.,,HP:0032205
12226,Increased urinary type 1 collagen N-terminal telopeptide level,0032208,"An increased concentration of type 1 collagen N-terminal telopeptide (NTx) level in the urine. Generally the test is performed over a period of time, for instance, 10 cc of morning urine can be collected following 12 hours overnight fasting or for 24 hours.","Increased collagen crosslinked N-telopeptide [Moles/volume] in 24 hour urine, Increased urine NTx level",HP:0032208
12227,Abnormal circulating free T3 concentration,0032209,"A deviation from the normal concentration of free triiodothyronine (T3) in the blood circulation. A proportion of T3 is bound to plasma proteins in the blood, including mainly thyroxine binding globulin, transthyretin, and albumin. T3 that is not bound to a protein is referred to as free T3.","Abnormal circulating free T3 level, Abnormal circulating free triiodotyronine concentration",HP:0032209
12228,Decreased circulating free T3,0032210,"A reduced concentration of free 3,3',5-triiodo-L-thyronine in the blood circulation.",Decreased circulating free triiodothyronine,HP:0032210
12229,Increased urinary epithelial cell count,0032211,An increased number of epithelial cells per high-power field in urinanalysis.,,HP:0032211
12230,Increased urinary squamous epithelial cell count,0032212,An increased number of squamous epithelial cells per high-power field in urinanalysis.,,HP:0032212
12231,Increased urinary renal tubular epithelial cell count,0032213,An increased number of renal tubular epithelial cells per high-power field in urinanalysis.,,HP:0032213
12232,Increased urinary transitional epithelial cell count,0032214,An increased number of transitional epithelial cells per high-power field in urinanalysis.,,HP:0032214
12233,Disseminated cutaneous warts,0032215,"Multiple skin warts located in multiple parts of the body, e.g., neck, trunks, and extremities.",,HP:0032215
12234,Lymphocytic infiltration of the colorectal mucosa,0032216,Abnormally increased intraepithelial lymphocyte count. This finding may be appreciated as large numbers of surface intraepithelial lymphocytes as seen (for instance) with hematoxylin and eosin staining of a colonic biopsy sample taken during colonoscopy.,,HP:0032216
12235,Indurated nodule,0032217,A skin nodule that is unusually hard (indurated).,,HP:0032217
12236,Decreased proportion of CD4-positive T cells,0032218,A reduction in the proportion of CD4-positive T cells relative to the total number of T cells.,"Decreased proportion of CD4+ cells, Decreased proportion of CD4-positive, alpha-beta T cells, Reduced proportion of CD4-positive cells",HP:0032218
12237,Increased proportion of CD4-positive T cells,0032219,An elevation in the proportion of CD4-positive T cells relative to the total number of T cells.,"Elevated proportion of CD4-positive T cells, Increased proportion of CD4+ T cells, Increased proportion of CD4-positive, alpha-beta T cells",HP:0032219
12238,Interface hepatitis,0032220,Inflammation of the liver characterized by a mononuclear cell infiltrate whereby portal inflammatory cells extend through the limiting plate between the portal tract and liver parenchyma.,,HP:0032220
12239,Periportal emperipolesis,0032221,"The engulfing of lymphocytes by hepatocytes, which typically occurs in the interface hepatitis area.",,HP:0032221
12240,Serrated intestinal polyps,0032222,"The presence of multiple serrated polyps in the intestine. Unlike conventional adenomas, which are uniformly dysplastic, the vast majority of serrated lesions contain no dysplasia. The serrated class includes the hyperplastic polyps, which are not considered precancerous; sessile serrated polyps (also called sessile serrated adenomas); and traditional serrated adenomas. Sessile serrated polyps are larger on average and more often located in the proximal colon. Sessile serrated polyps have a more irregular surface, a pattern to the surface that has been called cloudlike, and indistinct edges compared with hyperplastic polyps. Sessile serrated polyps also have large open pits on the surface (type O pits) when viewed with magnification.",,HP:0032222
