Term,ID,Definition,Synonyms
Mesangial matrix expansion,33493,"Increased mesangial extracellular material with interspace width of over 2 mesangial cell nuclei, in one or more peripheral mesangial areas.",Increased glomerular mesangial matrix
Glomerular basement membrane amyloid spicule,33494,"Amyloid spicules are projections of typically silver-positive material from the outer aspect of the glomerular capillary wall, perpendicular to the glomerular basement membrane (GBM), most often caused by amyloidosis with the latter confirmed by additional stains.",
Segmental glomerulosclerosis,33495,"Segmental solidification of the glomerular tuft by increased extracellular matrix, causing glomerular capillary obliteration and can include hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells, podocyte depletion, halo and adhesion of the tuft to the Bowman capsule.",
Perihilar segmental glomerulosclerosis,33496,"Segmental solidification of the glomerular tuft by increased extracellular matrix, causing glomerular capillary obliteration is present at the vascular pole, involving less than 50% of the tuft. It can be accompanied by other descriptors such as hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells, podocyte depletion, halo and adhesion of the tuft to the Bowman's capsule.","Segmental glomerulosclerosis, perihilar pattern"
Tip variant segmental glomerulosclerosis,33497,"Segmental solidification of the glomerular tuft characterized by an adhesion at the tip of the glomerular tuft abutting the proximal tubular taek-off can be accompanied by increased extracellular matrix, causing glomerular capillary obliteration at the glomerular tip. Features including hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells can also be observed.","Segmental glomerulosclerosis, tip variant"
Segmental glomerulosclerosis away from the vascular and tubular poles,33498,"Segmental solidification of the glomerular tuft characterized by increased extracellular matrix, causing glomerular capillary obliteration at neirhter the tubular or vascular poles. Features including hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells can also be observed.",
Glomerular basement membrane electron dense deposits,33499,Electron-dense deposits in the lamina densa with a ribbon or a sausage structure.,
Subendothelial glomerular basement membrane electron dense deposits,33500,Electron dense deposits in the glomerular basement membrane (GBM) subendothelial space associated with a prominent GBM reflecting an increase in thickness. This feature can be associated with GBM remodeling along the endothelial aspect.,
Subepithelial glomerular basement membrane electron dense deposits,33501,"Prominent glomerular basement membrane (GBM) reflecting a diffuse and relativly uniform increase in thickness (subjective estimate) with exogenous material deposited between the outer (epithelial) aspect of the GBM and the visceral epithelial cell, with varying degrees of incorporation into the GBM.",
Abnormal esterified to free carnitine ratio,33502,"Any deviation from the normal ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",
Elevated CSF fumarate concentration,33503,"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the cebrebrospinal fluid.",
Elevated circulating fumarate concentration,33504,"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the blood circulation.",
Livedo reticularis,33505,"Livedo reticularis is characterized by the presence of a bluish purple, mottled or netlike pattern in unbroken circles on the skin. Exposure to cold environments usually intensifies the vascular pattern. Presumably, the condition results from slow or stagnant blood flow, vessel-wall pathology, and decreased oxygen tension.",
Increased esterified to free carnitine ratio,33506,"An elevated ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",
Decreased esterified to free carnitine ratio,33507,"A reduced ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",
EBV meningitis,33508,Inflammation of the meninges related to infection by Epstein-Barr virus.,Epstein-Barr virus meningitis
EBV encephalitis,33509,Inflamation of the brain related to infection by Epstein-Barr virus.,Epstein-Barr virus encephalitis
Cutaneous horn,33510,A cutaneous horn is a keratinized non-malignant protrusion on the surface of the skin. Diagnosis is established by biopsy of the horn and biopsy of the horn and the underlying skin.,Cornu cutaneum
Drug addiction,33511,Chronic compulsive drug seeking and continued use despite harmful consequences.,
Stimulant addiction,33512,"Addiction to a stimulant drug, defined as a drug that typically increases alertness, attention and energy while also elevating blood pressure, heart rate and breathing.",Stimulant dependence
Cocaine addiction,33513,Addiction to cocaine.,Cocaine dependence
Amphetamine addiction,33514,Addiction to amphetamine or dextroamphetamine.,"Amphetamine dependence, Dextroamphetamine addiction, Dextroamphetamine dependence"
Opioid addiction,33515,Addiction to opioids.,Opioid dependence
Benzodiazepine addiction,33516,Addiction to a benzodiazepine.,Benzodiazepine dependence
Heroin addiction,33517,Addiction to heroin.,Heroin dependence
Methylphenidate addiction,33518,Addiction to methylphenidate.,Methylphenidate dependence
Methamphetamine addiction,33519,Addiction to methamphetamine.,Methamphetamine dependence
Paradoxical embolism,33520,"Paradoxical embolism describes the passage of a venous or right-sided cardiac thrombus into the arterial or systemic circulation.\nComment: Paradoxical embolism occurs most commonly through an intracardiac defect at the atrial level, but can also be due to another type of right-to-left-shunt, as for example in pulmonary arteriovenous malformations. Paradoxical embolism may lead to serious complications as ischemic stroke.",
Nasal dryness,33521,A lack of humidification of the nasal mucosa.,
Cerebral cavernous malformation,33522,"A cerebral cavernous malformation (also known as cavernoma, cavernous angioma, cavernous hemangioma) is a collection of structurally abnormal slow-flow capillaries predominantly in the central nervous system. These are multiple mulberry-like distended caverns of dilated thin-walled capillaries without the normal intervening brain parenchymal architecture. Often, individual cavernomas are surrounded by hemosiderin representing remote oozing due to the abnormal capillaries.",
Abnormal sperm principal piece morphology,33523,A structural anomaly of the part of the sperm flagellum that is distal to the sperm midpiece and mitochondrial sheath and which leads into the end piece.,
Abnormal sperm axoneme morphology,33524,"Abnormal structure of the sperm axonemal structure which consists of a ring of nine microtubular doublets and a central pair of microtubules, giving the classical 9+2 microtubular arrangement. The axoneme contains a central pair of microtubules (C1 and C2) that are connected by a bridge-like structure forming the central pair complex (CPC). Each of the nine outer doublets is composed of type A and B microtubules and connected by radial spokes to the CPC.",
Absent sperm axoneme central pair complex,33525,"Absense of the central pair of microtubules in the sperm axoneme, thereby forming a 9+0 pattern instead of the normal 9+2 pattern.",Absent central pair complex (9+0 pattern)
Limited ankle dorsiflexion,33526,Reduced ability to move the foot up toward the shin.,"Heel cord tightness, Tight heel cord"
